Orden;Material;Texto breve material;Texto Breve Producto;Mes;Fecha;Tipo;Linea;Cant_Plan_(KG);Cant_Real_(KG);Costo_Plan;Costo_Real;UMB
30725410;3019630;Mezcla tradicional Vainilla;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;MP;Cremas (7-10-18);2129,760000;2247,000000;7592594,400000;8010555,000000;KG
30725410;3006166;Salsa veteado mora;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;MP;Cremas (7-10-18);236,640000;240,000000;1348611,360000;1367760,000000;KG
30725410;8068032;Cja 5L Trad Veteado mora RI;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;ME;Cremas (7-10-18);932,640000;929,000000;1214297,280000;1209558,000000;UN
30725410;8013971;BOL Tarro 5lt;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;ME;Cremas (7-10-18);937,280000;939,000000;127470,080000;127896,000000;UN
30725410;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;ME;Cremas (7-10-18);1,114000;1,100000;30914,614000;30526,000000;KG
30725410;3006308;Reproceso mezcla crema;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;-114,450000;0,000000;-410532,000000;KG
30725410;3500316;Desperdicio Mezcla crema;Tarro x 5L TRADICIONAL Veteado Mora RI;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725411;3015018;Mezcla scooping brownie;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;MP;Cremas (7-10-18);2353,038000;2247,000000;9235674,150000;8819475,000000;KG
30725411;7001921;Brownie cubo 2x2;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;MP;Cremas (7-10-18);104,864000;106,600000;2754567,552000;2800169,000000;KG
30725411;3030694;Gta.RecreoTriturax10kgMetalizado;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;MP;Cremas (7-10-18);99,749000;100,000000;1043274,791000;1047188,000000;KG
30725411;8013971;BOL Tarro 5lt;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;ME;Cremas (7-10-18);1008,015000;1000,000000;137090,040000;136204,000000;UN
30725411;8068026;Cja 5L Trad Brownie Cookies RI;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;ME;Cremas (7-10-18);1008,015000;1012,000000;1312435,530000;1317624,000000;UN
30725411;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;ME;Cremas (7-10-18);1,204000;1,200000;33412,204000;33302,000000;KG
30725411;3006308;Reproceso mezcla crema;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;-31,600000;-3,587000;-113349,000000;KG
30725411;3500316;Desperdicio Mezcla crema;Tarro x 5L TRAD  Brownie & Cookies RI;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;0,000000;0,000000;0,000000;KG
30725412;3006129;Mezcla scooping ron;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;MP;Cremas (7-10-18);1293,615000;1345,000000;4939022,070000;5135210,000000;KG
30725412;7001392;Pasa glicerada importada;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;MP;Cremas (7-10-18);68,085000;62,500000;1116049,320000;1032890,000000;KG
30725412;8007827;BOL Blanca x10lt;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;ME;Cremas (7-10-18);269,670000;264,000000;46652,910000;45751,000000;UN
30725412;8053269;Caja 10 lt ND;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;ME;Cremas (7-10-18);268,335000;259,000000;227011,410000;219114,000000;UN
30725412;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;ME;Cremas (7-10-18);0,466000;0,600000;12931,966000;16651,000000;KG
30725412;3500316;Desperdicio Mezcla crema;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725412;3006308;Reproceso mezcla crema;Tarro x 10l  TRADICIONAL  Ron Pasas;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;-127,550000;-3,587000;-457522,000000;KG
30725413;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;ME;Cremas (7-10-18);0,819000;1,000000;22728,069000;27751,000000;KG
30725413;8053269;Caja 10 lt ND;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;ME;Cremas (7-10-18);472,350000;470,000000;399608,100000;397620,000000;UN
30725413;8007827;BOL Blanca x10lt;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;ME;Cremas (7-10-18);474,700000;470,000000;82123,100000;81451,000000;UN
30725413;3006308;Reproceso mezcla crema;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;-75,350000;-3,587000;-270281,000000;KG
30725413;3022498;Salsa Arequipe 15_25;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;MP;Cremas (7-10-18);239,700000;240,000000;2634782,400000;2638080,000000;KG
30725413;3006130;Mezcla scooping vainilla;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;MP;Cremas (7-10-18);2157,300000;2247,000000;8048886,300000;8383557,000000;KG
30725413;3500316;Desperdicio Mezcla crema;Tarro x 10l  TRADICIONAL Vetea. Caram.;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725414;3030343;Mezcla Scooping yogurt;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;MP;Cremas (7-10-18);3922,512000;4055,000000;29465910,144000;30461160,000000;KG
30725414;3013255;Salsa Maracuya Tarro;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;MP;Cremas (7-10-18);534,888000;520,000000;2017597,536000;1961440,000000;KG
30725414;8007827;BOL Blanca x10lt;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;ME;Cremas (7-10-18);882,740000;874,000000;152714,020000;151465,000000;UN
30725414;8053269;Caja 10 lt ND;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;ME;Cremas (7-10-18);878,370000;886,000000;743101,020000;749556,000000;UN
30725414;8007812;Cinta blanca cremhelado x 1000 m;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;ME;Cremas (7-10-18);1,523000;2,100000;42264,773000;58278,000000;KG
30725414;3006308;Reproceso mezcla crema;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;-99,200000;0,000000;-355831,000000;KG
30725414;3500316;Desperdicio Mezcla crema;Tarro x10L TRAD. sabor Yogurt maracuya;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725415;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;ME;Cremas (7-10-18);0,859000;1,000000;23838,109000;27752,000000;KG
30725415;8053269;Caja 10 lt ND;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;ME;Cremas (7-10-18);495,465000;493,000000;419163,390000;417078,000000;UN
30725415;8007827;BOL Blanca x10lt;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;ME;Cremas (7-10-18);497,930000;493,000000;86141,890000;85437,000000;UN
30725415;3006308;Reproceso mezcla crema;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;-55,900000;-3,587000;-200513,000000;KG
30725415;3006153;Mezcla scooping maracuya;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;MP;Cremas (7-10-18);2410,770000;2450,000000;10378364,850000;10547250,000000;KG
30725415;3013255;Salsa Maracuya Tarro;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;MP;Cremas (7-10-18);251,430000;240,000000;948393,960000;905280,000000;KG
30725415;3500316;Desperdicio Mezcla crema;Tarro x 10l TRADICIONAL  Macya LA FUENTE;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725416;3006130;Mezcla scooping vainilla;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;MP;Cremas (7-10-18);2136,645000;2230,000000;7971822,495000;8320130,000000;KG
30725416;3023001;Mezcla scooping Capuccino;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;MP;Cremas (7-10-18);2136,645000;2230,000000;8482480,650000;8853100,000000;KG
30725416;3022498;Salsa Arequipe 15_25;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;MP;Cremas (7-10-18);474,810000;470,000000;5219111,520000;5166240,000000;KG
30725416;8007827;BOL Blanca x10lt;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;ME;Cremas (7-10-18);940,310000;931,000000;162673,630000;161342,000000;UN
30725416;8053269;Caja 10 lt ND;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;ME;Cremas (7-10-18);935,655000;937,000000;791564,130000;792702,000000;UN
30725416;8007812;Cinta blanca cremhelado x 1000 m;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;ME;Cremas (7-10-18);1,622000;1,750000;45012,122000;48565,000000;KG
30725416;3006308;Reproceso mezcla crema;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;-136,400000;0,000000;-489266,000000;KG
30725416;3500316;Desperdicio Mezcla crema;Tarrox10L TRADICIONAL Capuccino Colcafe;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725417;3018223;Mezcla Scooping Lulo;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;MP;Cremas (7-10-18);1579,776000;1644,000000;6205360,128000;6457632,000000;KG
30725417;3022357;Mezcla Scooping Lulo Maracuya;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;MP;Cremas (7-10-18);1579,776000;1644,000000;6139009,536000;6388584,000000;KG
30725417;3018257;Salsa Lulo Tarro;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;MP;Cremas (7-10-18);430,848000;430,000000;1663073,280000;1659800,000000;KG
30725417;8007827;BOL Blanca x10lt;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;ME;Cremas (7-10-18);711,040000;704,000000;123009,920000;122003,000000;UN
30725417;8053269;Caja 10 lt ND;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;ME;Cremas (7-10-18);707,520000;704,000000;598561,920000;595584,000000;UN
30725417;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;ME;Cremas (7-10-18);1,227000;1,320000;34050,477000;36631,000000;KG
30725417;3006308;Reproceso mezcla crema;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;-167,300000;0,000000;-600105,000000;KG
30725417;3500316;Desperdicio Mezcla crema;Tarro x 10L TRADICIONAL Verano Tropical;ene;03/01/2026;MP;Cremas (7-10-18);0,000000;0,000000;0,000000;0,000000;KG
30725418;3015018;Mezcla scooping brownie;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;MP;Cremas (7-10-18);6977,004000;7398,000000;27384740,700000;29037150,000000;KG
30725418;7001921;Brownie cubo 2x2;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;MP;Cremas (7-10-18);310,932000;310,000000;8167561,776000;8143080,000000;KG
30725418;3030694;Gta.RecreoTriturax10kgMetalizado;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;MP;Cremas (7-10-18);295,765000;299,500000;3093406,135000;3136182,000000;KG
30725418;8053269;Caja 10 lt ND;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;ME;Cremas (7-10-18);1494,435000;1487,000000;1264292,010000;1258002,000000;UN
30725418;8007827;BOL Blanca x10lt;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;ME;Cremas (7-10-18);1501,870000;1500,000000;259823,510000;259950,000000;UN
30725418;8007812;Cinta blanca cremhelado x 1000 m;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;ME;Cremas (7-10-18);2,591000;2,700000;71902,841000;74929,000000;KG
30725418;3006308;Reproceso mezcla crema;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;-197,000000;-3,587000;-706638,000000;KG
30725418;3500316;Desperdicio Mezcla crema;Tarro x 10l TRADICIONAL Brownie&Cookies;ene;03/01/2026;MP;Cremas (7-10-18);-0,001000;0,000000;0,000000;0,000000;KG
30725420;3024436;Mezcla Crema Clasica Vainilla;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;1086,128000;1096,000000;4478105,744000;4518808,000000;KG
30725420;3024437;Mezcla Crema Clasica Fresa;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;1086,128000;1096,000000;4659489,120000;4701840,000000;KG
30725420;3006218;Salsa bocatto fresa;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;438,927000;450,000000;2131868,439000;2185650,000000;KG
30725420;7008787;Barquillo chocolate Nestle;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;329,626000;353,200000;7436362,560000;7968194,000000;KG
30725420;3019452;Cober Helados Fe Plus TANQUE;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;307,249000;306,000000;3238404,460000;3225327,000000;KG
30725420;7001962;Mani;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;87,786000;85,500000;1017176,382000;990746,000000;KG
30725420;3031729;Ensamble Bocatto Vlla Fresa RI;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;43462,320000;43829,000000;21253074,480000;21432381,000000;UN
30725420;8008032;Sobrecopa bocatto;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;43462,320000;43680,000000;2129653,680000;2118480,000000;UN
30725420;8008029;Caja bocatto cono;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;3614,688000;3591,000000;2215803,744000;2201283,000000;UN
30725420;8007812;Cinta blanca cremhelado x 1000 m;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;3,271000;3,250000;90773,521000;90192,000000;KG
30725420;8007927;Cintapak blanca franja roja x 1000 m;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;3,271000;2,900000;90763,708000;80470,000000;KG
30725420;3500316;Desperdicio Mezcla crema;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;-0,043000;-16,300000;0,000000;0,000000;KG
30725420;3006308;Reproceso mezcla crema;Cono BOCATTO Fresa NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;-0,043000;-107,350000;-154,241000;-385064,000000;KG
30725421;3031731;Ensamble Bocatto 3 leches RI;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;44456,160000;45029,000000;21739062,240000;22019181,000000;UN
30725421;3022363;Mezcla Cobertura Blanca Bocatto;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;314,275000;310,000000;3355828,450000;3310180,000000;KG
30725421;3014473;Salsa cereza bocatto;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;359,171000;360,000000;1366286,484000;1369440,000000;KG
30725421;3022847;Salsa Leche Condensada PA;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;359,171000;380,000000;2196689,836000;2324080,000000;KG
30725421;7008974;Cereza entera Cor;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;209,679019;155,784840;7520133,600000;5584570,000000;KG
30725421;3016730;Mezcla Bocatto tres leches;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;MP;Hoyer;2211,804000;2159,000000;9296212,212000;9074277,000000;KG
30725421;8008032;Sobrecopa bocatto;Cono BOCATTO Tres Leches NG x 93g x 12un;ene;03/01/2026;ME;Hoyer;44456,160000;44455,000000;2178351,840000;2156068,000000;UN
